pred,resp,E,r_G4,r16,r50,r84,r_xcom
Sulfur,MAC,0.1,0.512518193624859,0.3492634151951265,0.4765793085411594,0.5916754017909128,0.4214002048603895
Sulfur,MAC,1.0,0.08164402352956908,-0.09607076499431742,0.07710866164790758,0.24960801349665496,0.25873236604001937
Sulfur,MAC,10.0,-0.0910388684967793,-0.3117854653697408,-0.055602613626536325,0.2037070799871898,-0.5981031352518487
Sulfur,MAC,15.0,-0.0295571310298977,-0.2802176300015675,-0.012147140968075686,0.2548650837158784,-0.8941268389262186
Sulfur,LAC,0.01,-0.15604992936135004,-0.16870022841418997,-0.1557594973998473,-0.14234938809858244,-0.18872261482271294
Sulfur,LAC,0.03,-0.3358229124394168,-0.34539791295688943,-0.33548257835738315,-0.32557818100611857,-0.3359456084316666
Sulfur,LAC,0.05,-0.5330453235229047,-0.5442654409990285,-0.5325118630846922,-0.520668287568383,-0.5195967206267086
Sulfur,LAC,0.08,-0.5887640575652492,-0.6002902678770211,-0.5880105899443082,-0.5761115981234766,-0.5878457153943933
Sulfur,LAC,0.1,-0.5857157576615168,-0.5978870581867768,-0.5849307106040249,-0.5722367501587935,-0.6006204036184439
Sulfur,LAC,1.0,-0.6281727198946601,-0.6451855734458035,-0.6267216221244669,-0.6084267613359733,-0.6159272334184969
Sulfur,LAC,10.0,-0.6254970327738909,-0.6522691490343376,-0.6217671769707918,-0.5902635758442496,-0.6104800141070353
Sulfur,LAC,15.0,-0.5750105661923928,-0.6038451296457877,-0.5711773716378243,-0.5382215497311877,-0.6082168485431897
Sulfur,Zeff,0.01,0.9162163193177815,0.9162163193177815,0.9162163193177815,0.9162163193177815,0.9162163193177815
Sulfur,Zeff,0.03,0.07404322352155202,0.07404322352155202,0.07404322352155202,0.07404322352155202,0.07404322352155202
Sulfur,Zeff,0.05,-0.2570954667043343,-0.2570954667043343,-0.2570954667043343,-0.2570954667043343,-0.2570954667043343
Sulfur,Zeff,0.08,-0.3556350518469717,-0.3556350518469717,-0.3556350518469717,-0.3556350518469717,-0.3556350518469717
Sulfur,Zeff,0.1,-0.37293931864930113,-0.37293931864930113,-0.37293931864930113,-0.37293931864930113,-0.37293931864930113
Sulfur,Zeff,1.0,-0.39253410624453616,-0.39253410624453616,-0.39253410624453616,-0.39253410624453616,-0.39253410624453616
Sulfur,Zeff,10.0,-0.4116398495964173,-0.4116398495964173,-0.4116398495964173,-0.4116398495964173,-0.4116398495964173
Sulfur,Zeff,15.0,-0.4218883374797915,-0.4218883374797915,-0.4218883374797915,-0.4218883374797915,-0.4218883374797915
Density,MAC,0.01,0.3889224682661041,0.3642854198773138,0.3865160064784718,0.4094430056104722,0.4435524936166004
Density,MAC,0.03,0.06119685296174664,0.02385384024513919,0.05791977635009784,0.09467829838679619,0.09452969842262109
Density,MAC,0.05,-0.594455934089174,-0.6608127102438947,-0.5619922625214329,-0.4590357682924977,-0.4730470893645753
Density,MAC,0.08,-0.7436016302323113,-0.7766522855301724,-0.6771380768263459,-0.5548292562720694,-0.9609483955571579
Density,MAC,0.1,-0.8357392811504403,-0.848465192528796,-0.7742392129117174,-0.6819150791533457,-0.9519706201887224
Density,MAC,1.0,-0.724615851763314,-0.7618699593457584,-0.6439889779172888,-0.5034874544014234,-0.9134936468177287
Density,MAC,10.0,-0.4239890759491666,-0.5418552055641584,-0.3158231145524285,-0.05428953626201036,-0.1407705922742777
Density,MAC,15.0,0.24991027837707774,-0.11155275566845578,0.15195402955703785,0.4027210922616798,0.7777829419611413
Density,LAC,0.01,0.8888165248940176,0.8819530813596466,0.8881465173435985,0.8942298662502406,0.9041772792883008
Density,LAC,0.03,0.9585378557464809,0.9550967535295287,0.9581316478426551,0.9610239845084629,0.9585946871747305
Density,LAC,0.05,0.9963468587961972,0.99433733696023,0.9956396229895055,0.9968031961583886,0.9962429611957035
Density,LAC,0.08,0.9983148700128647,0.9964904388591491,0.9975082533887631,0.9983465628345053,0.9997732658526602
Density,LAC,0.1,0.9984453568536268,0.9964349256495187,0.9975384978254738,0.9984079785327794,0.9996772371420402
Density,LAC,1.0,0.9966754812252064,0.992335209730933,0.9947522616171367,0.9966115068950477,0.9992195211050693
