condition,value,E_MeV,mixture,d_mfp,B_exposure,T_primary,T_broad,T_broad_using_Geant4_MAC
thickness_cm,2,0.02,1,1.7228427924595229,1.8528962737170382,0.17855782289005795,0.33084912467601524,0.3287134497052066
thickness_cm,2,0.02,2,1.5916530457182265,1.8536653411294641,0.20358879184093906,0.3773854872779698,0.37399814274177184
thickness_cm,2,0.02,3,1.868543682407947,1.8506027064245565,0.15434827833197853,0.2856373416131302,0.28327176323001796
thickness_cm,2,0.02,4,1.8460427780678854,1.8395553173976054,0.15786062143826568,0.29039334557445207,0.2878704989793386
thickness_cm,2,0.02,5,1.6885401225764889,1.82307226731535,0.1847890966038709,0.3368838773207742,0.33307346525245335
thickness_cm,2,0.02,6,1.7111523514803404,1.8427482203621088,0.1806574916942457,0.3329062713146537,0.3307044861185923
thickness_cm,2,0.02,7,1.7348048373574736,1.863261515069277,0.17643463037519436,0.32874385670357253,0.32512292845889584
thickness_cm,2,0.02,8,1.7470425048537621,1.8738493947904704,0.1742886397755229,0.3265906621622179,0.32363082543861743
thickness_cm,2,0.02,9,1.7595710545188432,1.8846694724383457,0.17211867751983773,0.3243868171580983,0.3217190637474354
thickness_cm,2,0.02,10,1.785528733989683,1.9070337995895281,0.16770836444117526,0.31982551946319976,0.3166750040704816
thickness_cm,2,0.03,1,0.8652255856353528,2.4526445595904516,0.42095658015792065,1.032456866148126,1.0316934883536406
thickness_cm,2,0.03,2,0.8106317897854042,2.433383118259852,0.44457709820645414,1.081826405540538,1.0805271377574723
thickness_cm,2,0.03,3,0.9258541151391988,2.4853962927051825,0.39619288018297005,0.9846963156029424,0.9838871827356698
thickness_cm,2,0.03,4,0.9137454203655352,2.459615349074951,0.40101942142562186,0.9863535242156158,0.9849476787553445
thickness_cm,2,0.03,5,0.8446339318653153,2.3867657125005866,0.4297146342567175,1.0256281552036635,1.0242379864837121
thickness_cm,2,0.03,6,0.8582056082507988,2.429896438614823,0.4239220825319681,1.0300867585946083,1.0296119764592018
thickness_cm,2,0.03,7,0.8724043377970793,2.47595996314871,0.4179454581787011,1.0348162212303076,1.0334588046812336
thickness_cm,2,0.03,8,0.8797501374709621,2.499869326815748,0.41488656333768903,1.037162193795888,1.0366456431772226
thickness_cm,2,0.03,9,0.8872688840170475,2.5243964441731723,0.4117788341769051,1.0394930247819536,1.0382154380183337
thickness_cm,2,0.03,10,0.9028530671120149,2.5754101556132634,0.405411342379958,1.0441004883661498,1.0429977699198987
thickness_cm,2,0.04,1,0.6490579600782094,2.831276585104395,0.5225377964384299,1.4794490278881733,1.4793252752379558
thickness_cm,2,0.04,2,0.613151311508661,2.7816139963633137,0.5416412963404403,1.5066370109089382,1.5065720885918843
thickness_cm,2,0.04,3,0.688938355621243,2.9112114655086705,0.502108847240735,1.4617450330205692,1.461745760987084
thickness_cm,2,0.04,4,0.6792403759791122,2.873908195247267,0.5070019770056583,1.4570771367231277,1.4570217319344145
thickness_cm,2,0.04,5,0.6315786767419147,2.751783496250836,0.531751674036649,1.463265480717805,1.4629371085294085
thickness_cm,2,0.04,6,0.6431014052739228,2.800658595770215,0.5256596098562846,1.4721931047932209,1.4719849289009075
thickness_cm,2,0.04,7,0.6551542274449803,2.8638037149905577,0.5193619565423542,1.4873507005707585,1.487220006085032
thickness_cm,2,0.04,8,0.6613896224425275,2.8972474776174497,0.5161336050797861,1.4953667854310113,1.4952554091804369
thickness_cm,2,0.04,9,0.6677745842584839,2.9316654793553933,0.5128486101631173,1.5035005665506027,1.5033297790369615
thickness_cm,2,0.04,10,0.6810035277242791,3.0035628153615033,0.506108843181702,1.5201297019061866,1.5200154989463404
thickness_cm,2,0.05,1,0.5632788930393304,2.9947022778422063,0.5693391976462623,1.7050013920561158,1.7030454922181404
thickness_cm,2,0.05,2,0.5343665486187172,2.9341792011839214,0.5860404006934464,1.7195475547682018,1.7183210908674216
thickness_cm,2,0.05,3,0.5953858490485597,3.097963429281811,0.5513497870294646,1.7080614769595963,1.7064323661499043
thickness_cm,2,0.05,4,0.5866501514360314,3.053749677261606,0.5561873108568066,1.6984568210259738,1.6960277445059775
thickness_cm,2,0.05,5,0.547114251298427,2.9074626113042887,0.5786171471470511,1.6823077215896032,1.6799713394781495
thickness_cm,2,0.05,6,0.5577695257343105,2.9648176643930437,0.5724845529100238,1.6973123150597924,1.6959377063256384
thickness_cm,2,0.05,7,0.5689122879350376,3.0325576996708477,0.5661409022051136,1.7168549520807177,1.7161708203801067
thickness_cm,2,0.05,8,0.5746795010901785,3.072652106933966,0.5628852440074431,1.7295505309615096,1.7275845802870917
thickness_cm,2,0.05,9,0.5805824954428457,3.1139477266750313,0.5595723232870018,1.7424789640098248,1.741030613183
thickness_cm,2,0.05,10,0.5928154709154332,3.2003637170694517,0.5527687873682104,1.7690611710216992,1.7665670800039925
