set,material,E_MeV,F_photoelectric,F_incoherent,F_coherent,F_pair,mac_total_cm2_g
new,Mix7,7,0.000006,0.864791,0.000039,0.135164,0.024624
new,Mix7,8,0.000006,0.836693,0.000031,0.163270,0.023163
new,Mix7,9,0.000005,0.809286,0.000026,0.190682,0.022013
new,Mix7,10,0.000005,0.782910,0.000022,0.217063,0.021082
new,Mix7,11,0.000005,0.757674,0.000019,0.242302,0.020319
new,Mix7,12,0.000004,0.733585,0.000016,0.266395,0.019682
new,Mix7,13,0.000004,0.710465,0.000014,0.289517,0.019143
new,Mix7,14,0.000004,0.688525,0.000013,0.311459,0.018688
new,Mix7,15,0.000004,0.667654,0.000011,0.332331,0.018298
new,Mix8,0.01,0.912783,0.038015,0.049202,0.000000,3.917326
new,Mix8,0.015,0.780694,0.129557,0.089749,0.000000,1.266513
new,Mix8,0.02,0.613475,0.268710,0.117815,0.000000,0.639762
new,Mix8,0.03,0.326591,0.550527,0.122882,0.000000,0.322162
new,Mix8,0.04,0.169388,0.730796,0.099816,0.000000,0.242199
new,Mix8,0.05,0.093593,0.829160,0.077247,0.000000,0.210446
new,Mix8,0.06,0.055754,0.884006,0.060241,0.000000,0.193641
new,Mix8,0.08,0.023873,0.937137,0.038990,0.000000,0.174996
new,Mix8,0.1,0.012243,0.960482,0.027275,0.000000,0.163506
new,Mix8,0.15,0.003666,0.982313,0.014021,0.000000,0.144774
new,Mix8,0.2,0.001591,0.989679,0.008730,0.000000,0.131969
new,Mix8,0.3,0.000519,0.994972,0.004509,0.000000,0.114368
new,Mix8,0.356,0.000333,0.996244,0.003423,0.000000,0.107154
new,Mix8,0.4,0.000249,0.996911,0.002841,0.000000,0.102349
new,Mix8,0.5,0.000147,0.997859,0.001994,0.000000,0.093421
new,Mix8,0.511,0.000140,0.997933,0.001927,0.000000,0.092567
new,Mix8,0.6,0.000099,0.998402,0.001499,0.000000,0.086378
new,Mix8,0.662,0.000080,0.998633,0.001286,0.000000,0.082702
new,Mix8,0.8,0.000057,0.998983,0.000961,0.000000,0.075853
new,Mix8,1,0.000039,0.999277,0.000684,0.000000,0.068197
new,Mix8,1.173,0.000030,0.999344,0.000538,0.000088,0.063005
new,Mix8,1.33,0.000026,0.998973,0.000447,0.000555,0.059071
new,Mix8,1.5,0.000022,0.998023,0.000374,0.001581,0.055502
new,Mix8,2,0.000016,0.992400,0.000245,0.007339,0.047631
new,Mix8,2.51,0.000013,0.983638,0.000176,0.016173,0.042089
new,Mix8,3,0.000011,0.973338,0.000136,0.026515,0.038204
new,Mix8,4,0.000009,0.948654,0.000089,0.051248,0.032697
new,Mix8,5,0.000008,0.921402,0.000064,0.078526,0.029073
new,Mix8,6,0.000007,0.892900,0.000049,0.107044,0.026516
new,Mix8,7,0.000006,0.864330,0.000039,0.135625,0.024621
new,Mix8,8,0.000006,0.836160,0.000031,0.163803,0.023162
new,Mix8,9,0.000005,0.808687,0.000026,0.191282,0.022015
new,Mix8,10,0.000005,0.782255,0.000022,0.217718,0.021086
new,Mix8,11,0.000004,0.756971,0.000019,0.243005,0.020325
new,Mix8,12,0.000004,0.732839,0.000016,0.267140,0.019689
new,Mix8,13,0.000004,0.709682,0.000014,0.290300,0.019151
new,Mix8,14,0.000004,0.687710,0.000013,0.312274,0.018698
new,Mix8,15,0.000004,0.666816,0.000011,0.333170,0.018309
new,Mix9,0.01,0.912276,0.038092,0.049632,0.000000,3.903298
new,Mix9,0.015,0.779467,0.129991,0.090543,0.000000,1.260606
new,Mix9,0.02,0.611541,0.269601,0.118858,0.000000,0.636853
new,Mix9,0.03,0.324456,0.551707,0.123837,0.000000,0.321135
new,Mix9,0.04,0.167865,0.731662,0.100473,0.000000,0.241692
new,Mix9,0.05,0.092600,0.829699,0.077701,0.000000,0.210134
new,Mix9,0.06,0.055100,0.884327,0.060573,0.000000,0.193419
new,Mix9,0.08,0.023559,0.937248,0.039193,0.000000,0.174846
new,Mix9,0.1,0.012070,0.960515,0.027415,0.000000,0.163384
new,Mix9,0.15,0.003609,0.982300,0.014091,0.000000,0.144676
new,Mix9,0.2,0.001565,0.989662,0.008773,0.000000,0.131882
new,Mix9,0.3,0.000510,0.994959,0.004531,0.000000,0.114293
new,Mix9,0.356,0.000327,0.996233,0.003440,0.000000,0.107083
new,Mix9,0.4,0.000244,0.996901,0.002855,0.000000,0.102281
