set,material,E_MeV,Zeff_direct
ref,PMMA,0.662,3.601349
ref,PMMA,0.8,3.600994
ref,PMMA,1,3.600819
ref,PMMA,1.173,3.600918
ref,PMMA,1.33,3.601479
ref,PMMA,1.5,3.602729
ref,PMMA,2,3.610201
ref,PMMA,2.51,3.621106
ref,PMMA,3,3.635644
ref,PMMA,4,3.667226
ref,PMMA,5,3.702366
ref,PMMA,6,3.739401
ref,PMMA,7,3.776976
ref,PMMA,8,3.814400
ref,PMMA,9,3.851577
ref,PMMA,10,3.887909
ref,PMMA,11,3.923151
ref,PMMA,12,3.957492
ref,PMMA,13,3.990559
ref,PMMA,14,4.022929
ref,PMMA,15,4.053997
