condition,value,E_MeV,d_min_mfp,d_max_mfp,spread_primary_pct,spread_broad_pct,best_mix_primary,best_mix_broad,worst_mix_broad,spearman_primary_vs_broad
areal_mass_g_cm2,50,6,1.3201,1.3298,0.97472,0.50661,2,2,4,1
areal_mass_g_cm2,50,7,1.2261,1.2339,0.78305,0.34923,2,10,4,0.23636
areal_mass_g_cm2,50,8,1.1537,1.1599,0.62696,0.34953,2,10,4,-0.29269
areal_mass_g_cm2,50,9,1.0967,1.1017,0.49623,0.3433,2,10,4,0.6
areal_mass_g_cm2,50,10,1.0507,1.0549,0.41586,0.33272,10,10,4,0.71733
areal_mass_g_cm2,50,11,1.013,1.0171,0.40582,0.33845,10,10,5,0.81818
areal_mass_g_cm2,50,12,0.9815,0.9855,0.4008,0.36718,10,10,5,0.91794
areal_mass_g_cm2,50,13,0.95485,0.9588,0.39578,0.38676,10,10,5,0.95152
areal_mass_g_cm2,50,14,0.93245,0.93635,0.39076,0.41258,10,10,5,0.97873
areal_mass_g_cm2,50,15,0.9127,0.9171,0.44097,0.44239,10,10,2,0.97576
areal_mass_g_cm2,100,0.03,31.908,32.891,167.3,256.16,4,4,10,1
areal_mass_g_cm2,100,0.04,24.068,24.474,50.08,102.4,5,4,10,0.93939
areal_mass_g_cm2,100,0.05,20.951,21.201,28.364,64.769,5,5,10,0.95152
areal_mass_g_cm2,100,0.06,19.297,19.475,19.483,49.055,5,5,10,0.66061
areal_mass_g_cm2,100,0.08,17.453,17.576,13.055,35.554,2,5,10,0.27273
areal_mass_g_cm2,100,0.1,16.288,16.431,15.373,31.42,2,5,10,0.33333
areal_mass_g_cm2,100,0.15,14.409,14.556,15.905,21.93,2,5,10,0.69697
areal_mass_g_cm2,100,0.2,13.131,13.271,15.073,18.184,2,5,10,0.73333
areal_mass_g_cm2,100,0.3,11.378,11.503,13.304,14.012,2,5,10,0.85455
areal_mass_g_cm2,100,0.356,10.66,10.778,12.491,12.46,2,5,10,0.85455
areal_mass_g_cm2,100,0.4,10.182,10.295,11.941,11.319,2,5,10,0.85455
areal_mass_g_cm2,100,0.5,9.2933,9.3966,10.882,9.5029,2,5,10,0.92727
areal_mass_g_cm2,100,0.511,9.2083,9.3108,10.794,9.3447,2,5,10,0.92727
areal_mass_g_cm2,100,0.6,8.5927,8.6884,10.043,8.1244,2,5,10,0.92727
areal_mass_g_cm2,100,0.662,8.2271,8.3189,9.6146,7.5303,2,5,10,0.92727
areal_mass_g_cm2,100,0.8,7.5456,7.6297,8.7738,6.262,2,5,10,0.92727
areal_mass_g_cm2,100,1,6.7838,6.8595,7.8639,5.3683,2,2,10,0.96364
areal_mass_g_cm2,100,1.173,6.2676,6.3377,7.2615,3.3115,2,5,10,0.92727
areal_mass_g_cm2,100,1.33,5.8761,5.9417,6.78,3.1427,2,2,4,1
areal_mass_g_cm2,100,1.5,5.5211,5.5826,6.343,3.2472,2,2,4,1
areal_mass_g_cm2,100,2,4.7383,4.7899,5.2954,2.8572,2,2,4,1
areal_mass_g_cm2,100,2.51,4.1874,4.2321,4.5714,2.5886,2,2,4,1
areal_mass_g_cm2,100,3,3.8013,3.84,3.9459,2.3171,2,2,4,1
areal_mass_g_cm2,100,4,3.254,3.2843,3.0764,1.9002,2,2,4,1
areal_mass_g_cm2,100,5,2.894,2.9181,2.4393,1.5884,2,2,4,1
areal_mass_g_cm2,100,6,2.6402,2.6596,1.9589,1.2909,2,2,4,1
areal_mass_g_cm2,100,7,2.4521,2.4677,1.5722,0.98079,2,2,4,0.32121
areal_mass_g_cm2,100,8,2.3073,2.3198,1.2578,0.74473,2,10,4,0.25
areal_mass_g_cm2,100,9,2.1935,2.2034,0.99492,0.72875,2,10,4,0.89091
areal_mass_g_cm2,100,10,2.1014,2.1097,0.83345,0.70417,10,10,4,0.80851
areal_mass_g_cm2,100,11,2.026,2.0341,0.81329,0.68934,10,10,4,0.87879
areal_mass_g_cm2,100,12,1.963,1.971,0.80321,0.68312,10,10,4,0.98481
areal_mass_g_cm2,100,13,1.9097,1.9176,0.79313,0.73011,10,10,5,0.95152
areal_mass_g_cm2,100,14,1.8649,1.8727,0.78305,0.80734,10,10,5,0.97873
areal_mass_g_cm2,100,15,1.8254,1.8342,0.88388,0.87473,10,10,5,1
